ex#	token	pos_tag	ner_tag
1	Präparat	NOUN	O
1	(	PUNCT	O
1	Wirkstoff	NOUN	O
1	)	PUNCT	O
1	Wartezeit	NOUN	O
1	Tage	NOUN	O
1	Anwendungen	NOUN	O
1	Bemerkungen	NOUN	O
1	B4	NOUN	O
1	SS110	PROPN	O
1	-	PROPN	O
1	1	NUM	O
1	,	PUNCT	O
1	SS2101	PROPN	O
1	,	PUNCT	O
1	ST1102	PROPN	O
1	Art	PROPN	O
1	.	PUNCT	O
1	51	NUM	O
1	Verwendung	NOUN	O
1	mit	ADP	O
1	Schale	NOUN	O
1	;	PUNCT	O
1	auch	ADV	O
1	bei	ADP	O
1	Arten	NOUN	O
1	und	CCONJ	O
1	Sorten	NOUN	O
1	mit	ADP	O
1	normalerweise	ADV	O
1	ungenießbarer	ADJ	O
1	Schale	NOUN	O
1	bei	ADP	O
1	vorzeitiger	ADJ	O
1	Ernte	NOUN	O
1	008934	NUM	O
1	-	PUNCT	O
1	00	NUM	O
1	Serifel	NOUN	U-Mittel
1	(	PUNCT	O
1	Bacillus	PROPN	O
1	amyloiquefaciens	PROPN	O
1	)	PUNCT	O
1	Zulassung	NOUN	O
1	bis	ADP	O
1	:	PUNCT	O
1	16.09.27	NUM	O
1	B4	PROPN	O
1	SS110	PROPN	O
1	-	PROPN	O
1	1	NUM	O
1	,	PUNCT	O
1	SS2101	PROPN	O
1	,	PUNCT	O
1	ST1102	PROPN	O
1	Art	PROPN	O
1	.	NOUN	O
1	51	NUM	O
1	1	NUM	O
1	1	NUM	O
1	1	NUM	O
1	1	NUM	O
1	Gurke	NOUN	U-Kultur
1	,	PUNCT	O
1	Moschus-Kürbis	PROPN	U-Kultur
1	,	PUNCT	O
1	Riesenkür-bis	PROPN	U-Kultur
1	,	PUNCT	O
1	Flaschenkürbis	PROPN	U-Kultur
1	,	PUNCT	O
1	Garten-Kürbis	PROPN	U-Kultur
1	,	PUNCT	O
1	Zuc-chini	PROPN	U-Kultur
1	,	PUNCT	O
1	Patisson	NOUN	U-Kultur
1	:	PUNCT	O
1	zur	ADP	O
1	Befallsminderung	NOUN	O
1	uG	PROPN	O
1	:	PUNCT	O
1	max.	PROPN	O
1	6	NUM	O
1	0,25	NUM	O
1	-	PUNCT	O
1	0,5	NUM	O
1	kg	X	O
1	/	PUNCT	O
1	ha	X	O
1	BBCH	PROPN	O
1	51	NUM	O
1	-	PUNCT	O
1	89	NUM	O
1	Abstand	NOUN	O
1	:	PUNCT	O
1	mind	PROPN	O

3	Rote	ADJ	B-Kultur
3	Bete	NOUN	L-Kultur
3	:	PUNCT	O
3	Das	DET	O
3	Auftreten	NOUN	O
3	von	ADP	O
3	Cercospora-	X	B-Erreger
3	und	CCONJ	I-Erreger
3	Ramulariablattfleckenkrankheit	NOUN	L-Erreger
3	an	ADP	O
3	Zuckerrübe	NOUN	U-Kultur
3	wurde	AUX	O
3	aus	ADP	O
3	dem	DET	O
3	Feldbau	NOUN	O
3	gemeldet	VERB	O
3	.	PUNCT	O
3	Daher	ADV	O
3	sollten	AUX	O
3	die	DET	O
3	Rote	ADJ	B-Kultur
3	Bete	NOUN	L-Kultur
3	Bestände	NOUN	O
3	auf	ADP	O
3	Symptome	NOUN	O
3	:	PUNCT	O
3	rundlich	ADV	O
3	,	PUNCT	O
3	grau-	X	O
3	schwarzbraune	ADJ	O
3	Flecke	NOUN	O
3	mit	ADP	O
3	rötlichem	ADJ	O
3	Rand	NOUN	O
3	bei	ADP	O
3	Cercospora	PROPN	U-Erreger
3	und	CCONJ	O
3	größere	ADJ	O
3	eher	ADV	O
3	eckige	ADJ	O
3	mit	ADP	O
3	braunem	DET	O
3	Rand	NOUN	O
3	und	CCONJ	O
3	späterem	ADJ	O
3	Ausfallen	NOUN	O
3	des	DET	O
3	Zentrums	NOUN	O
3	bei	ADP	O
3	Ramularia	PROPN	U-Erreger
3	,	PUNCT	O
3	untersucht	VERB	O
3	werden	AUX	O
3	.	PUNCT	O
3	Sollte	AUX	O
3	die	DET	O
