EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	09:20:58	0	0.1000	0.7861691743679606	0.47024035453796387	0.3082	0.0695	0.1134	0.0621
2	09:21:46	0	0.1000	0.45001773528871036	0.380434513092041	0.4186	0.1406	0.2105	0.1239
3	09:22:32	0	0.1000	0.34991360028668916	0.311930388212204	0.3885	0.4095	0.3988	0.2832
4	09:23:19	0	0.1000	0.2970052383475343	0.21665790677070618	0.6478	0.5416	0.59	0.4478
5	09:24:04	1	0.1000	0.24859179264340145	0.2580445110797882	0.7104	0.2902	0.4121	0.2692
6	09:24:50	2	0.1000	0.23653375000258417	0.19745853543281555	0.8187	0.4265	0.5609	0.3964
7	09:25:36	0	0.1000	0.2131856011347532	0.15742935240268707	0.69	0.7072	0.6985	0.5738
8	09:26:24	0	0.1000	0.19503792356201882	0.1454305350780487	0.6764	0.7507	0.7116	0.5818
9	09:27:11	0	0.1000	0.17980029148284515	0.1345941722393036	0.6999	0.7337	0.7164	0.5898
10	09:27:58	0	0.1000	0.1713065414650789	0.12206811457872391	0.7743	0.7607	0.7675	0.6459
11	09:28:45	1	0.1000	0.1606135888969056	0.1872030347585678	0.5539	0.8037	0.6558	0.5231
12	09:29:32	2	0.1000	0.15581932138532328	0.11639530211687088	0.813	0.6897	0.7463	0.6238
13	09:30:18	3	0.1000	0.1418118763802764	0.1275458037853241	0.7077	0.8016	0.7517	0.6449
14	09:31:05	0	0.1000	0.141810784765134	0.1170646920800209	0.7181	0.8271	0.7687	0.6586
15	09:31:52	0	0.1000	0.13409254806449913	0.11377798765897751	0.7164	0.8403	0.7734	0.6639
16	09:32:39	0	0.1000	0.12912232640496824	0.09841153770685196	0.831	0.8111	0.8209	0.7182
17	09:33:26	0	0.1000	0.12581595536671356	0.09279369562864304	0.8036	0.8552	0.8286	0.7354
18	09:34:15	1	0.1000	0.1224817154362707	0.12065059691667557	0.6899	0.826	0.7518	0.6431
19	09:35:02	2	0.1000	0.1173494642327847	0.0931210145354271	0.8735	0.7878	0.8285	0.7294
20	09:35:49	3	0.1000	0.11288053861336911	0.12246740609407425	0.6916	0.8387	0.7581	0.6557
21	09:36:35	0	0.1000	0.11004065195382919	0.0823117196559906	0.8722	0.8149	0.8426	0.7474
22	09:37:22	1	0.1000	0.10614264408221602	0.09287798404693604	0.9017	0.7687	0.8299	0.7234
23	09:38:10	0	0.1000	0.10635880558350061	0.07937230169773102	0.8523	0.8695	0.8608	0.7771
24	09:38:59	1	0.1000	0.10010269570836443	0.0790344700217247	0.8391	0.8769	0.8576	0.7764
25	09:39:45	0	0.1000	0.09798496324065249	0.0749165341258049	0.8967	0.834	0.8642	0.7794
26	09:40:32	1	0.1000	0.09603494380194852	0.08000291138887405	0.871	0.8419	0.8562	0.776
27	09:41:19	2	0.1000	0.09643489981997294	0.08233975619077682	0.8228	0.8939	0.8569	0.7761
28	09:42:07	0	0.1000	0.09073005801440863	0.07076564431190491	0.8822	0.8499	0.8657	0.7811
29	09:42:56	1	0.1000	0.08916342251513426	0.07757983356714249	0.8417	0.8854	0.863	0.7792
30	09:43:44	0	0.1000	0.09036829903757297	0.07333012670278549	0.8767	0.8637	0.8701	0.7918
31	09:44:30	0	0.1000	0.08721460038059191	0.0683707669377327	0.8831	0.8854	0.8842	0.8114
32	09:45:15	1	0.1000	0.08352512017416872	0.0824524313211441	0.811	0.8854	0.8466	0.7635
33	09:46:00	2	0.1000	0.08367549455112236	0.07012578845024109	0.8688	0.8817	0.8752	0.7983
34	09:46:45	3	0.1000	0.07974676953386649	0.07422241568565369	0.8757	0.8859	0.8808	0.8052
35	09:47:32	4	0.1000	0.07946165871702196	0.0678538978099823	0.8971	0.8647	0.8806	0.8045
36	09:48:19	0	0.0500	0.06927004761404384	0.06460761278867722	0.8845	0.8854	0.8849	0.813
37	09:49:05	0	0.0500	0.07106639259421153	0.06689620763063431	0.8733	0.9072	0.8899	0.8198
38	09:49:52	0	0.0500	0.06690209356682993	0.06567283719778061	0.8771	0.905	0.8909	0.8222
39	09:50:39	1	0.0500	0.06522900292910606	0.06445548683404922	0.8718	0.9056	0.8884	0.8183
40	09:51:24	2	0.0500	0.06621640052199837	0.06500805169343948	0.8702	0.9072	0.8883	0.8194
41	09:52:11	3	0.0500	0.06310110382378874	0.06185254082083702	0.8818	0.8987	0.8902	0.8215
42	09:52:57	4	0.0500	0.06262758108130458	0.0649535059928894	0.8705	0.9061	0.888	0.82
43	09:53:44	0	0.0250	0.059999382006929614	0.062356218695640564	0.8814	0.9072	0.8941	0.8253
44	09:54:29	1	0.0250	0.06064895035318989	0.06187225133180618	0.8941	0.8918	0.893	0.8236
45	09:55:16	2	0.0250	0.0576518999328371	0.0632217526435852	0.8797	0.9077	0.8935	0.8278
46	09:56:04	0	0.0250	0.05811516468283297	0.06255703419446945	0.8868	0.9098	0.8981	0.8321
47	09:56:51	1	0.0250	0.05605983315210678	0.06038820743560791	0.8992	0.8944	0.8968	0.8285
48	09:57:37	2	0.0250	0.05699947818494657	0.06027241796255112	0.8826	0.9056	0.894	0.8258
